Fetching From Disk,RXWC,SDWI,AFNetworking
,0.00662,0.03743,0.03368
,0.00715,0.07911,0.01618
,0.00877,0.03607,0.03948
,0.00508,0.09135,0.01069
,0.00507,0.09584,0.00555
,0.00703,0.04813,0.03492
,0.00513,0.08360,0.07588
,0.00661,0.09951,0.01070
,0.00521,0.07989,0.06676
,0.00485,0.06659,0.05529
,0.00523,0.08074,0.07223
,0.00507,0.07070,0.06033
,0.00473,0.03315,0.03083
,0.00514,0.08553,0.00766
,0.00536,0.08248,0.06912
,0.00343,0.07860,0.01054
,0.00513,0.08122,0.01033
,0.00483,0.07364,0.01015
,0.00513,0.08743,0.01180
,0.00496,0.02721,0.03053
,,,Average fetching from Disk        time (RXWC) = 0.00553
,,,Average fetching from Disk        time (SDWI) = 0.07091
,,,Average fetching from Disk        time (AFNetwork) =0.35355