Fetching from RAM,RXWC,SDWI,AFNetworking
,0.00069,0.00095,0.00043
,0.00061,0.00082,0.00044
,0.00060,0.00079,0.00039
,0.00062,0.00078,0.00039
,0.00061,0.00082,0.00038
,0.00062,0.00087,0.00043
,0.00062,0.00081,0.00039
,0.00064,0.00082,0.00038
,0.00068,0.00082,0.00039
,0.00045,0.00081,0.00039
,0.00062,0.00080,0.00040
,0.00062,0.00081,0.00039
,0.00066,0.00077,0.00039
,0.00062,0.00082,0.00039
,0.00062,0.00082,0.00039
,0.00061,0.00082,0.00050
,0.00060,0.00089,0.00038
,0.00061,0.00082,0.00038
,0.00067,0.00083,0.00040
,0.00062,0.00080,0.00039